LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2MWET
40.75,-89.25,2021,1,2,0.66,2.64,0.17,284.52,12.55,47.59,1.78,0.02,0.09,2.02,-4.4
40.75,-88.75,2021,1,2,0.76,2.58,0.2,285.93,14.25,46.45,1.99,0.02,0.09,1.99,-3.13
40.75,-88.25,2021,1,2,0.76,2.58,0.2,285.93,14.25,46.45,1.99,0.02,0.09,1.95,-2.31
40.75,-87.75,2021,1,2,0.76,2.58,0.2,293.24,14.38,46.55,2.05,0.02,0.1,1.89,-1.43
41.25,-90.25,2021,1,2,1.47,2.64,0.41,251.59,26.05,46.56,3.12,0.03,0.15,1.76,-8.0
41.25,-89.75,2021,1,2,1.17,2.63,0.33,268.09,20.85,46.4,2.57,0.02,0.12,1.88,-6.97
41.25,-89.25,2021,1,2,1.17,2.63,0.33,268.09,20.85,46.4,2.57,0.02,0.12,1.97,-5.71
41.25,-88.75,2021,1,2,0.9,2.55,0.25,281.95,16.05,44.91,2.06,0.02,0.09,1.97,-4.14
41.25,-88.25,2021,1,2,0.9,2.55,0.25,281.95,16.05,44.91,2.06,0.02,0.09,1.93,-2.95
41.25,-87.75,2021,1,2,0.85,2.5,0.23,283.26,15.52,43.93,2.16,0.02,0.1,1.88,-1.51
41.75,-90.25,2021,1,2,1.47,2.64,0.41,251.59,26.05,46.56,3.12,0.03,0.15,1.56,-8.66
41.75,-89.75,2021,1,2,1.17,2.63,0.33,268.09,20.85,46.4,2.57,0.02,0.12,1.68,-7.96
41.75,-89.25,2021,1,2,1.17,2.63,0.33,268.09,20.85,46.4,2.57,0.02,0.12,1.83,-6.95
41.75,-88.75,2021,1,2,0.9,2.55,0.25,281.95,16.05,44.91,2.06,0.02,0.09,1.96,-5.41
41.75,-88.25,2021,1,2,0.9,2.55,0.25,281.95,16.05,44.91,2.06,0.02,0.09,2.0,-3.89
41.75,-87.75,2021,1,2,0.85,2.5,0.23,283.26,15.52,43.93,2.16,0.02,0.1,2.32,-1.32
42.25,-90.25,2021,1,2,1.6,2.53,0.47,258.3,29.15,44.61,3.91,0.03,0.17,1.32,-8.46
42.25,-89.75,2021,1,2,0.98,2.52,0.29,267.79,17.93,43.93,2.38,0.02,0.11,1.4,-8.17
42.25,-89.25,2021,1,2,0.98,2.52,0.29,267.79,17.93,43.93,2.38,0.02,0.11,1.52,-7.86
42.25,-88.75,2021,1,2,0.87,2.52,0.26,272.42,16.11,43.77,2.17,0.02,0.1,1.7,-7.18
42.25,-88.25,2021,1,2,0.87,2.52,0.26,272.42,16.11,43.77,2.17,0.02,0.1,1.9,-5.51
42.25,-87.75,2021,1,2,1.21,2.48,0.35,276.35,21.64,42.94,2.96,0.02,0.12,2.65,-1.72
37.75,-90.25,2021,1,3,1.95,3.09,0.45,262.04,35.18,55.05,4.55,0.05,0.24,0.94,-1.58
37.75,-89.75,2021,1,3,2.83,3.08,0.66,245.44,50.23,55.13,5.93,0.06,0.3,1.34,-1.04
37.75,-89.25,2021,1,3,2.83,3.08,0.66,245.44,50.23,55.13,5.93,0.06,0.3,1.55,-0.62
37.75,-88.75,2021,1,3,2.7,3.04,0.62,254.25,47.9,54.41,5.73,0.06,0.3,1.7,-0.34
37.75,-88.25,2021,1,3,2.7,3.04,0.62,254.25,47.9,54.41,5.73,0.06,0.3,1.9,-0.13
37.75,-87.75,2021,1,3,1.82,3.03,0.42,275.98,32.83,54.62,4.27,0.05,0.25,1.89,0.19
38.25,-90.25,2021,1,3,1.95,2.89,0.48,280.77,34.56,51.1,4.3,0.04,0.2,1.13,-2.23
38.25,-89.75,2021,1,3,2.84,2.87,0.69,243.1,49.83,51.15,5.68,0.05,0.27,1.56,-1.83
38.25,-89.25,2021,1,3,2.84,2.87,0.69,243.1,49.83,51.15,5.68,0.05,0.27,1.85,-1.47
38.25,-88.75,2021,1,3,2.17,2.86,0.52,257.56,38.49,50.99,4.67,0.05,0.23,2.01,-1.16
38.25,-88.25,2021,1,3,2.17,2.86,0.52,257.56,38.49,50.99,4.67,0.05,0.23,2.01,-0.82
38.25,-87.75,2021,1,3,1.32,2.87,0.32,275.8,23.97,51.45,3.2,0.03,0.17,2.03,-0.44
38.75,-90.25,2021,1,3,1.95,2.89,0.48,280.77,34.56,51.1,4.3,0.04,0.2,1.4,-3.02
38.75,-89.75,2021,1,3,2.84,2.87,0.69,243.1,49.83,51.15,5.68,0.05,0.27,1.68,-2.64
38.75,-89.25,2021,1,3,2.84,2.87,0.69,243.1,49.83,51.15,5.68,0.05,0.27,1.9,-2.22
38.75,-88.75,2021,1,3,2.17,2.86,0.52,257.56,38.49,50.99,4.67,0.05,0.23,2.04,-1.8
38.75,-88.25,2021,1,3,2.17,2.86,0.52,257.56,38.49,50.99,4.67,0.05,0.23,2.09,-1.34
38.75,-87.75,2021,1,3,1.32,2.87,0.32,275.8,23.97,51.45,3.2,0.03,0.17,2.08,-0.91
39.25,-90.25,2021,1,3,1.39,2.76,0.35,291.59,25.2,48.76,3.38,0.03,0.16,1.58,-3.84
39.25,-89.75,2021,1,3,1.71,2.75,0.43,265.41,30.2,48.69,3.72,0.03,0.18,1.72,-3.34
39.25,-89.25,2021,1,3,1.71,2.75,0.43,265.41,30.2,48.69,3.72,0.03,0.18,1.86,-2.74
39.25,-88.75,2021,1,3,0.96,2.74,0.24,275.14,17.26,48.7,2.27,0.02,0.11,1.99,-2.19
39.25,-88.25,2021,1,3,0.96,2.74,0.24,275.14,17.26,48.7,2.27,0.02,0.11,2.11,-1.7
39.25,-87.75,2021,1,3,0.84,2.74,0.21,282.69,15.74,49.09,2.23,0.02,0.12,2.1,-1.29
39.75,-90.25,2021,1,3,1.39,2.76,0.35,291.59,25.2,48.76,3.38,0.03,0.16,1.64,-4.77
39.75,-89.75,2021,1,3,1.71,2.75,0.43,265.41,30.2,48.69,3.72,0.03,0.18,1.72,-4.12
39.75,-89.25,2021,1,3,1.71,2.75,0.43,265.41,30.2,48.69,3.72,0.03,0.18,1.81,-3.39
39.75,-88.75,2021,1,3,0.96,2.74,0.24,275.14,17.26,48.7,2.27,0.02,0.11,1.92,-2.77
39.75,-88.25,2021,1,3,0.96,2.74,0.24,275.14,17.26,48.7,2.27,0.02,0.11,2.04,-2.28
39.75,-87.75,2021,1,3,0.84,2.74,0.21,282.69,15.74,49.09,2.23,0.02,0.12,2.07,-1.8
40.25,-90.25,2021,1,3,1.15,2.7,0.3,288.63,20.93,47.82,2.9,0.02,0.13,1.59,-5.85
40.25,-89.75,2021,1,3,0.72,2.69,0.19,286.98,13.34,47.48,1.88,0.02,0.09,1.66,-5.08
40.25,-89.25,2021,1,3,0.72,2.69,0.19,286.98,13.34,47.48,1.88,0.02,0.09,1.74,-4.38
40.25,-88.75,2021,1,3,0.52,2.61,0.14,285.88,9.49,45.91,1.33,0.02,0.06,1.85,-3.63
40.25,-88.25,2021,1,3,0.52,2.61,0.14,285.88,9.49,45.91,1.33,0.02,0.06,1.87,-3.1
40.25,-87.75,2021,1,3,0.51,2.58,0.13,292.45,9.35,46.01,1.33,0.02,0.06,1.95,-2.46
40.75,-90.25,2021,1,3,1.15,2.7,0.3,288.63,20.93,47.82,2.9,0.02,0.13,1.55,-6.94
40.75,-89.75,2021,1,3,0.72,2.69,0.19,286.98,13.34,47.48,1.88,0.02,0.09,1.63,-6.09
40.75,-89.25,2021,1,3,0.72,2.69,0.19,286.98,13.34,47.48,1.88,0.02,0.09,1.75,-5.37
40.75,-88.75,2021,1,3,0.52,2.61,0.14,285.88,9.49,45.91,1.33,0.02,0.06,1.9,-4.56
40.75,-88.25,2021,1,3,0.52,2.61,0.14,285.88,9.49,45.91,1.33,0.02,0.06,1.83,-3.81
40.75,-87.75,2021,1,3,0.51,2.58,0.13,292.45,9.35,46.01,1.33,0.02,0.06,1.8,-3.02
41.25,-90.25,2021,1,3,1.37,2.62,0.38,282.04,24.09,46.24,3.18,0.03,0.15,1.55,-7.81
41.25,-89.75,2021,1,3,1.53,2.62,0.42,281.06,26.61,46.36,3.43,0.03,0.15,1.67,-6.98
41.25,-89.25,2021,1,3,1.53,2.62,0.42,281.06,26.61,46.36,3.43,0.03,0.15,1.82,-6.23
41.25,-88.75,2021,1,3,0.99,2.52,0.27,282.84,17.7,44.37,2.34,0.02,0.1,2.01,-5.52
41.25,-88.25,2021,1,3,0.99,2.52,0.27,282.84,17.7,44.37,2.34,0.02,0.1,1.92,-4.37
41.25,-87.75,2021,1,3,0.78,2.45,0.22,285.76,14.38,43.58,2.02,0.02,0.09,1.8,-3.19
41.75,-90.25,2021,1,3,1.37,2.62,0.38,282.04,24.09,46.24,3.18,0.03,0.15,1.51,-8.6
41.75,-89.75,2021,1,3,1.53,2.62,0.42,281.06,26.61,46.36,3.43,0.03,0.15,1.63,-7.98
41.75,-89.25,2021,1,3,1.53,2.62,0.42,281.06,26.61,46.36,3.43,0.03,0.15,1.83,-7.37
41.75,-88.75,2021,1,3,0.99,2.52,0.27,282.84,17.7,44.37,2.34,0.02,0.1,2.08,-6.58
41.75,-88.25,2021,1,3,0.99,2.52,0.27,282.84,17.7,44.37,2.34,0.02,0.1,2.05,-5.14
41.75,-87.75,2021,1,3,0.78,2.45,0.22,285.76,14.38,43.58,2.02,0.02,0.09,2.22,-2.79
42.25,-90.25,2021,1,3,1.42,2.54,0.41,282.6,25.94,44.8,3.59,0.03,0.15,1.6,-9.22
42.25,-89.75,2021,1,3,1.04,2.51,0.3,278.87,18.52,44.12,2.41,0.02,0.1,1.64,-8.97
42.25,-89.25,2021,1,3,1.04,2.51,0.3,278.87,18.52,44.12,2.41,0.02,0.1,1.78,-8.54
42.25,-88.75,2021,1,3,0.84,2.47,0.24,278.28,15.34,43.5,2.09,0.02,0.09,2.0,-7.59
42.25,-88.25,2021,1,3,0.84,2.47,0.24,278.28,15.34,43.5,2.09,0.02,0.09,2.15,-6.17
42.25,-87.75,2021,1,3,0.87,2.41,0.25,283.34,16.18,42.65,2.33,0.02,0.1,2.69,-2.51
37.75,-90.25,2021,1,4,2.07,2.94,0.48,277.95,37.34,52.34,4.78,0.05,0.24,0.76,0.77
37.75,-89.75,2021,1,4,2.36,2.94,0.55,270.71,42.35,52.41,5.22,0.05,0.27,1.15,1.15
37.75,-89.25,2021,1,4,2.36,2.94,0.55,270.71,42.35,52.41,5.22,0.05,0.27,1.38,1.53
37.75,-88.75,2021,1,4,2.7,2.97,0.62,266.35,47.88,53.08,5.64,0.05,0.28,1.58,2.02
37.75,-88.25,2021,1,4,2.7,2.97,0.62,266.35,47.88,53.08,5.64,0.05,0.28,1.72,2.28
37.75,-87.75,2021,1,4,2.87,2.97,0.66,266.16,50.7,53.07,5.87,0.05,0.3,1.64,2.54
38.25,-90.25,2021,1,4,1.21,2.78,0.29,310.69,22.55,48.96,3.12,0.03,0.15,1.01,-0.27
38.25,-89.75,2021,1,4,1.95,2.78,0.47,274.47,34.66,48.92,4.33,0.04,0.2,1.44,0.11
38.25,-89.25,2021,1,4,1.95,2.78,0.47,274.47,34.66,48.92,4.33,0.04,0.2,1.76,0.61
38.25,-88.75,2021,1,4,2.6,2.84,0.62,260.54,45.6,50.29,5.38,0.05,0.25,1.94,1.13
38.25,-88.25,2021,1,4,2.6,2.84,0.62,260.54,45.6,50.29,5.38,0.05,0.25,1.88,1.49
38.25,-87.75,2021,1,4,2.79,2.84,0.67,254.11,48.62,50.27,5.59,0.05,0.26,1.83,1.81
38.75,-90.25,2021,1,4,1.21,2.78,0.29,310.69,22.55,48.96,3.12,0.03,0.15,1.49,-1.14
38.75,-89.75,2021,1,4,1.95,2.78,0.47,274.47,34.66,48.92,4.33,0.04,0.2,1.78,-0.79
38.75,-89.25,2021,1,4,1.95,2.78,0.47,274.47,34.66,48.92,4.33,0.04,0.2,1.99,-0.35
38.75,-88.75,2021,1,4,2.6,2.84,0.62,260.54,45.6,50.29,5.38,0.05,0.25,2.04,0.14
38.75,-88.25,2021,1,4,2.6,2.84,0.62,260.54,45.6,50.29,5.38,0.05,0.25,1.95,0.64
38.75,-87.75,2021,1,4,2.79,2.84,0.67,254.11,48.62,50.27,5.59,0.05,0.26,1.84,1.03
39.25,-90.25,2021,1,4,1.16,2.68,0.29,298.33,21.21,47.02,2.83,0.02,0.12,1.99,-1.9
39.25,-89.75,2021,1,4,1.25,2.67,0.31,296.59,22.56,46.52,2.98,0.02,0.13,2.11,-1.6
39.25,-89.25,2021,1,4,1.25,2.67,0.31,296.59,22.56,46.52,2.98,0.02,0.13,2.17,-1.28
39.25,-88.75,2021,1,4,2.0,2.73,0.5,267.66,34.69,47.97,4.09,0.03,0.17,2.12,-0.94
39.25,-88.25,2021,1,4,2.0,2.73,0.5,267.66,34.69,47.97,4.09,0.03,0.17,1.99,-0.45
39.25,-87.75,2021,1,4,2.48,2.75,0.62,251.27,42.92,48.16,5.0,0.04,0.22,1.83,0.02
39.75,-90.25,2021,1,4,1.16,2.68,0.29,298.33,21.21,47.02,2.83,0.02,0.12,2.17,-2.56
39.75,-89.75,2021,1,4,1.25,2.67,0.31,296.59,22.56,46.52,2.98,0.02,0.13,2.2,-2.44
39.75,-89.25,2021,1,4,1.25,2.67,0.31,296.59,22.56,46.52,2.98,0.02,0.13,2.25,-2.22
39.75,-88.75,2021,1,4,2.0,2.73,0.5,267.66,34.69,47.97,4.09,0.03,0.17,2.2,-1.81
39.75,-88.25,2021,1,4,2.0,2.73,0.5,267.66,34.69,47.97,4.09,0.03,0.17,2.05,-1.57
39.75,-87.75,2021,1,4,2.48,2.75,0.62,251.27,42.92,48.16,5.0,0.04,0.22,1.87,-1.18
40.25,-90.25,2021,1,4,1.28,2.56,0.34,291.05,23.23,44.8,2.97,0.02,0.12,2.16,-3.24
40.25,-89.75,2021,1,4,1.01,2.55,0.27,296.7,18.55,44.38,2.44,0.02,0.1,2.13,-3.34
40.25,-89.25,2021,1,4,1.01,2.55,0.27,296.7,18.55,44.38,2.44,0.02,0.1,2.22,-3.23
40.25,-88.75,2021,1,4,1.2,2.54,0.31,294.68,21.26,44.01,2.73,0.02,0.12,2.28,-2.65
40.25,-88.25,2021,1,4,1.2,2.54,0.31,294.68,21.26,44.01,2.73,0.02,0.12,2.13,-2.59
40.25,-87.75,2021,1,4,1.23,2.53,0.32,282.55,21.69,43.47,2.75,0.02,0.12,1.97,-2.31
40.75,-90.25,2021,1,4,1.28,2.56,0.34,291.05,23.23,44.8,2.97,0.02,0.12,2.23,-4.03
40.75,-89.75,2021,1,4,1.01,2.55,0.27,296.7,18.55,44.38,2.44,0.02,0.1,2.16,-4.24
40.75,-89.25,2021,1,4,1.01,2.55,0.27,296.7,18.55,44.38,2.44,0.02,0.1,2.17,-4.23
40.75,-88.75,2021,1,4,1.2,2.54,0.31,294.68,21.26,44.01,2.73,0.02,0.12,2.2,-3.86
40.75,-88.25,2021,1,4,1.2,2.54,0.31,294.68,21.26,44.01,2.73,0.02,0.12,2.12,-3.68
40.75,-87.75,2021,1,4,1.23,2.53,0.32,282.55,21.69,43.47,2.75,0.02,0.12,2.03,-3.38
41.25,-90.25,2021,1,4,1.03,2.45,0.28,290.13,18.37,42.84,2.26,0.02,0.09,2.36,-4.84
41.25,-89.75,2021,1,4,1.43,2.46,0.39,287.23,24.97,43.01,3.12,0.02,0.12,2.29,-5.08
